id,category,productName,date,quantitySold,listPrice,unitPrice,inSeason,season,promotional,discountRate,isPayday,isDoubleDay,isWeekend,promoType
1,Skincare,Whitening Face Wash,2024-01-01,14,66.05,66.05,0,Christmas,0,0,0,1,0,none
2,Skincare,Whitening Face Wash,2024-01-02,11,66.05,66.05,0,Christmas,0,0,0,0,0,none
3,Skincare,Whitening Face Wash,2024-01-03,18,66.05,66.05,0,Christmas,0,0,0,0,0,none
4,Skincare,Whitening Face Wash,2024-01-04,23,66.05,66.05,0,Christmas,0,0,0,0,0,none
5,Skincare,Whitening Face Wash,2024-01-05,32,66.05,66.05,0,Christmas,0,0,0,0,0,none
6,Skincare,Whitening Face Wash,2024-01-06,37,66.05,66.05,0,Christmas,0,0,0,0,1,none
7,Skincare,Whitening Face Wash,2024-01-07,16,66.05,66.05,0,Christmas,0,0,0,0,1,none
8,Skincare,Whitening Face Wash,2024-01-08,27,66.05,66.05,0,Christmas,0,0,0,0,0,none
9,Skincare,Whitening Face Wash,2024-01-09,35,66.05,66.05,0,Christmas,0,0,0,0,0,none
10,Skincare,Whitening Face Wash,2024-01-10,12,66.05,66.05,0,Christmas,0,0,0,0,0,none
11,Skincare,Whitening Face Wash,2024-01-11,16,66.05,66.05,0,Christmas,0,0,0,0,0,none
12,Skincare,Whitening Face Wash,2024-01-12,34,66.05,66.05,0,Christmas,0,0,0,0,0,none
13,Skincare,Whitening Face Wash,2024-01-13,18,66.05,66.05,0,Christmas,0,0,0,0,1,none
14,Skincare,Whitening Face Wash,2024-01-14,37,66.05,66.05,0,Christmas,0,0,0,0,1,none
15,Skincare,Whitening Face Wash,2024-01-15,40,66.05,66.05,0,Christmas,0,0,1,0,0,none
16,Skincare,Whitening Face Wash,2024-01-16,18,66.05,66.05,0,Christmas,0,0,0,0,0,none
17,Skincare,Whitening Face Wash,2024-01-17,25,66.05,66.05,0,Christmas,0,0,0,0,0,none
18,Skincare,Whitening Face Wash,2024-01-18,10,66.05,66.05,0,Christmas,0,0,0,0,0,none
19,Skincare,Whitening Face Wash,2024-01-19,24,66.05,66.05,0,Christmas,0,0,0,0,0,none
20,Skincare,Whitening Face Wash,2024-01-20,3,66.05,66.05,0,Christmas,0,0,0,0,1,none
21,Skincare,Whitening Face Wash,2024-01-21,33,66.05,66.05,0,Christmas,0,0,0,0,1,none
22,Skincare,Whitening Face Wash,2024-01-22,27,66.05,66.05,0,Christmas,0,0,0,0,0,none
